date,tx_fee
2022-05-16,2.064124679
2022-05-17,2.304035321
2022-05-18,2.054122547
2022-05-19,1.857998215
2022-05-20,1.914498076
2022-05-21,1.905859112
2022-05-22,1.567418126
2022-05-23,1.661592341
2022-05-24,1.798277129
2022-05-25,2.007859789
2022-05-26,2.004478263
2022-05-27,1.976185088
2022-05-28,1.863042828
2022-05-29,1.505872636
2022-05-30,1.397657435
2022-05-31,1.502792829
2022-06-01,1.57476344
2022-06-02,2.140559579
2022-06-03,2.218318939
2022-06-04,2.024524207
2022-06-05,1.707897025
2022-06-06,1.397619009
2022-06-07,1.476541356
2022-06-08,1.345334944
2022-06-09,1.262328099
2022-06-10,1.163074925
2022-06-11,1.529729139
2022-06-12,1.415563897
2022-06-13,1.240392589
2022-06-14,2.470567485
2022-06-15,2.037379906
2022-06-16,1.857175219
2022-06-17,1.983276269
2022-06-18,1.792035768
2022-06-19,1.625479655
2022-06-20,1.246081599
2022-06-21,1.30369505
2022-06-22,1.349360514
2022-06-23,1.345560654
2022-06-24,1.187361672
2022-06-25,1.332107422
2022-06-26,1.30365549
2022-06-27,1.318371347
2022-06-28,1.168106498
2022-06-29,1.192221001
2022-06-30,1.023795935
2022-07-01,1.173928335
2022-07-02,1.298146176
2022-07-03,1.088130041
2022-07-04,0.9291415369
2022-07-05,1.104625165
2022-07-06,1.600122625
2022-07-07,1.849242889
2022-07-08,1.805582229
2022-07-09,1.849109411
2022-07-10,1.557721871
2022-07-11,1.358105639
2022-07-12,1.368456213
2022-07-13,1.24849837
2022-07-14,2.0296614
2022-07-15,2.220710256
2022-07-16,2.014579121
2022-07-17,1.684467958
2022-07-18,1.657766097
2022-07-19,1.971779009
2022-07-20,2.145337131
2022-07-21,2.326399168
2022-07-22,2.022861635
2022-07-23,1.911833975
2022-07-24,1.350698708
2022-07-25,1.208748529
2022-07-26,1.098831651
2022-07-27,1.155181158
2022-07-28,1.028307968
2022-07-29,1.294443987
2022-07-30,1.286933135
2022-07-31,1.292600013
2022-08-01,1.24286085
2022-08-02,1.343207572
2022-08-03,1.304643632
2022-08-04,1.281895572
2022-08-05,1.431925185
2022-08-06,1.679854519
2022-08-07,1.321866866
2022-08-08,1.309351351
2022-08-09,1.451012686
2022-08-10,2.088540389
2022-08-11,1.689136727
2022-08-12,1.582970925
2022-08-13,1.513482435
2022-08-14,1.216115732
2022-08-15,0.946996388
2022-08-16,1.052288775
2022-08-17,1.031364933
2022-08-18,1.40449698
2022-08-19,1.198808495
2022-08-20,1.07564753
2022-08-21,0.8587825073
2022-08-22,0.8246336069
2022-08-23,0.8995699681
2022-08-24,0.957712143
2022-08-25,0.8186212741
2022-08-26,0.9038145789
2022-08-27,0.9109424029
2022-08-28,0.7848431194
2022-08-29,0.7371648174
2022-08-30,0.8737882663
2022-08-31,0.9206524874
2022-09-01,1.011119435
2022-09-02,1.095574313
2022-09-03,1.357434186
2022-09-04,1.187967551
2022-09-05,1.013462007
2022-09-06,1.11187621
2022-09-07,1.114576454
2022-09-08,1.053663399
2022-09-09,1.127475026
2022-09-10,1.251600904
2022-09-11,1.09782338
2022-09-12,1.001042745
2022-09-13,1.06988806
2022-09-14,1.277610733
2022-09-15,1.280515683
2022-09-16,1.248730968
2022-09-17,1.437675878
2022-09-18,1.350533534
2022-09-19,1.138385212
2022-09-20,0.9786004565
2022-09-21,1.04732687
2022-09-22,1.02455195
2022-09-23,0.9992899985
2022-09-24,1.06483145
2022-09-25,0.939001598
2022-09-26,0.9268111024
2022-09-27,1.061412324
2022-09-28,1.224724618
2022-09-29,1.018192979
2022-09-30,1.078500359
2022-10-01,1.131884873
2022-10-02,0.9840803279
2022-10-03,0.8132075892
2022-10-04,0.8114297678
2022-10-05,0.7347354301
2022-10-06,0.6942019458
2022-10-07,0.7365814837
2022-10-08,0.7742128825
2022-10-09,0.5527990521
2022-10-10,0.5459712042
2022-10-11,0.6053589464
2022-10-12,0.6314083168
2022-10-13,0.6901340844
2022-10-14,1.001404946
2022-10-15,1.026750217
2022-10-16,0.7362600048
2022-10-17,0.7366848316
2022-10-18,0.9741947276
2022-10-19,1.262726232
2022-10-20,1.228660421
2022-10-21,0.9263161104
